timestamp,open,high,low,close,volume
2024-10-04 19:00:00,2653.28,2653.66,2648.33,2651.21,1706
2024-10-04 19:15:00,2651.11,2652.39,2647.78,2648.7,1049
2024-10-04 19:30:00,2648.72,2649.29,2642.26,2642.89,1872
2024-10-04 19:45:00,2642.75,2646.14,2641.71,2645.17,1447
2024-10-04 20:00:00,2645.22,2647.6,2643.84,2647.21,1224
2024-10-04 20:15:00,2647.15,2648.18,2646.44,2647.78,1437
2024-10-04 20:30:00,2647.76,2649.29,2645.45,2649.08,1327
2024-10-04 20:45:00,2649.1,2650.36,2648.22,2649.95,1326
2024-10-04 21:00:00,2649.95,2650.67,2645.48,2645.59,1191
2024-10-04 21:15:00,2645.59,2646.64,2644.2,2646.42,1134
2024-10-04 21:30:00,2646.45,2647.98,2645.64,2647.94,1730
2024-10-04 21:45:00,2647.95,2648.08,2645.33,2645.48,1387
2024-10-04 22:00:00,2645.5,2646.46,2642.62,2646.12,1223
2024-10-04 22:15:00,2646.13,2648.21,2645.63,2647.67,891
2024-10-04 22:30:00,2647.66,2649.48,2647.28,2649.0,608
2024-10-04 22:45:00,2648.99,2651.97,2648.36,2651.45,1145
2024-10-04 23:00:00,2651.45,2651.79,2649.68,2650.85,532
2024-10-04 23:15:00,2650.85,2651.74,2650.85,2650.89,401
2024-10-04 23:30:00,2650.9,2652.24,2650.56,2651.82,372
2024-10-04 23:45:00,2651.8,2653.78,2651.6,2653.24,458
2024-10-07 01:00:00,2651.2,2651.3,2649.55,2650.34,339
2024-10-07 01:15:00,2650.4,2652.04,2649.94,2651.31,604
2024-10-07 01:30:00,2651.26,2651.79,2650.74,2651.09,400
2024-10-07 01:45:00,2651.07,2651.39,2650.36,2650.67,264
2024-10-07 02:00:00,2650.67,2651.02,2649.54,2650.93,554
2024-10-07 02:15:00,2650.93,2652.3,2650.59,2651.26,224
2024-10-07 02:30:00,2651.26,2651.56,2650.56,2651.18,257
2024-10-07 02:45:00,2651.16,2651.17,2649.74,2650.03,591
2024-10-07 03:00:00,2650.03,2650.37,2648.32,2649.45,1025
2024-10-07 03:15:00,2649.45,2650.88,2649.45,2650.78,955
2024-10-07 03:30:00,2650.8,2650.92,2648.78,2649.0,726
2024-10-07 03:45:00,2648.96,2649.86,2647.64,2649.17,901
2024-10-07 04:00:00,2649.19,2651.81,2648.72,2648.8,1052
2024-10-07 04:15:00,2648.8,2650.3,2648.0,2648.84,1560
2024-10-07 04:30:00,2648.82,2651.14,2648.63,2649.57,1838
2024-10-07 04:45:00,2649.58,2650.05,2643.69,2645.99,2244
2024-10-07 05:00:00,2646.0,2648.42,2645.59,2647.77,1565
2024-10-07 05:15:00,2647.84,2648.42,2646.08,2646.54,1128
2024-10-07 05:30:00,2646.54,2648.18,2645.91,2646.3,1330
2024-10-07 05:45:00,2646.3,2647.32,2645.26,2645.28,1580
2024-10-07 06:00:00,2645.23,2646.67,2645.04,2645.08,1045
2024-10-07 06:15:00,2645.07,2645.46,2644.46,2645.41,1642
2024-10-07 06:30:00,2645.47,2647.07,2645.12,2646.14,1418
2024-10-07 06:45:00,2646.14,2647.33,2643.71,2647.31,1150
2024-10-07 07:00:00,2647.3,2648.44,2647.2,2647.2,788
2024-10-07 07:15:00,2647.2,2648.15,2646.94,2647.44,642
2024-10-07 07:30:00,2647.45,2648.13,2647.3,2648.12,493
2024-10-07 07:45:00,2648.11,2648.11,2646.2,2646.66,873
2024-10-07 08:00:00,2646.67,2646.69,2645.46,2645.55,1053
2024-10-07 08:15:00,2645.54,2645.54,2642.8,2643.17,1419
2024-10-07 08:30:00,2643.16,2643.89,2641.98,2642.5,844
2024-10-07 08:45:00,2642.5,2642.6,2639.96,2640.66,1466
2024-10-07 09:00:00,2640.62,2642.3,2639.57,2641.53,1912
2024-10-07 09:15:00,2641.53,2643.53,2640.21,2641.12,1694
2024-10-07 09:30:00,2641.09,2643.38,2640.94,2642.54,1375
2024-10-07 09:45:00,2642.54,2643.79,2641.65,2643.08,1839
2024-10-07 10:00:00,2643.04,2646.09,2641.89,2643.57,1991
2024-10-07 10:15:00,2643.59,2646.5,2643.56,2645.23,1761
2024-10-07 10:30:00,2645.21,2649.64,2645.21,2648.9,1819
2024-10-07 10:45:00,2648.9,2652.65,2648.77,2651.89,1913
2024-10-07 11:00:00,2651.88,2656.25,2651.88,2653.39,2073
2024-10-07 11:15:00,2653.39,2654.54,2651.54,2653.16,1740
2024-10-07 11:30:00,2653.16,2654.69,2652.53,2652.6,1557
2024-10-07 11:45:00,2652.6,2653.09,2651.5,2652.16,1649
2024-10-07 12:00:00,2652.18,2652.6,2650.59,2651.91,1638
2024-10-07 12:15:00,2651.92,2652.84,2651.32,2651.37,1657
2024-10-07 12:30:00,2651.35,2653.79,2650.92,2653.6,1518
2024-10-07 12:45:00,2653.66,2657.14,2653.58,2656.45,1540
2024-10-07 13:00:00,2656.44,2657.96,2655.52,2656.83,1172
2024-10-07 13:15:00,2656.83,2658.34,2656.82,2658.13,1072
2024-10-07 13:30:00,2658.13,2658.32,2655.84,2656.03,841
2024-10-07 13:45:00,2656.01,2656.93,2655.07,2655.25,1275
2024-10-07 14:00:00,2655.2,2659.07,2654.96,2657.45,1277
2024-10-07 14:15:00,2657.45,2658.24,2656.72,2656.73,1060
2024-10-07 14:30:00,2656.73,2659.1,2656.62,2658.6,624
2024-10-07 14:45:00,2658.6,2659.45,2656.78,2656.83,1514
2024-10-07 15:00:00,2656.83,2659.14,2656.62,2657.06,2100
2024-10-07 15:15:00,2656.98,2656.98,2648.44,2649.44,2800
2024-10-07 15:30:00,2649.42,2649.45,2641.19,2642.95,3214
2024-10-07 15:45:00,2643.07,2643.74,2637.62,2639.94,2575
2024-10-07 16:00:00,2639.88,2649.87,2639.58,2649.23,2970
2024-10-07 16:15:00,2649.25,2653.59,2646.63,2646.97,2987
2024-10-07 16:30:00,2646.9,2647.38,2643.73,2645.16,3239
2024-10-07 16:45:00,2645.28,2648.58,2642.1,2642.6,3283
2024-10-07 17:00:00,2642.64,2646.04,2640.78,2645.72,2713
2024-10-07 17:15:00,2645.72,2645.96,2640.33,2642.86,2655
2024-10-07 17:30:00,2642.95,2647.65,2640.36,2646.01,2543
2024-10-07 17:45:00,2646.03,2646.84,2640.68,2640.71,2557
2024-10-07 18:00:00,2640.45,2643.58,2638.98,2640.74,2509
